,NAME,TIME,LAT,LON,DEPTH,MAG,MTYPE,CONTRIBUTOR,STATIONKEY
0,2012-05-19T19-22-15,2012-05-19T19-22-15.980,32.5255,-115.644,12.8,3.0,ML,SCEDC,StationKey.csv
1,2012-05-19T07-39-24,2012-05-19T07-39-24.770,44.316,-105.185,0.0,3.7,ML,NEIC,StationKey.csv
2,2012-05-18T18-19-49,2012-05-18T18-19-49.700,43.652,-105.192,0.0,3.5,ML,NEIC,StationKey.csv
3,2012-05-18T16-51-17,2012-05-18T16-51-17.000,37.2025,-118.1131,6.5,3.0,ML,UNR,StationKey.csv
4,2012-05-18T16-27-54,2012-05-18T16-27-54.710,47.5434,-92.5776,0.0,3.1,ML,ANF,StationKey.csv
5,2012-05-18T10-37-12,2012-05-18T10-37-12.020,33.3195,-116.4022,7.5,3.4,ML,SCEDC,StationKey.csv
6,2012-05-17T08-12-00,2012-05-17T08-12-00.990,31.926,-94.369,5.0,5.5,ML,PDE-Q,StationKey.csv
7,2012-05-15T10-19-32,2012-05-15T10-19-32.840,40.4525,-125.3068,5.0,3.4,ML,NCEDC,StationKey.csv
8,2012-05-11T23-39-09,2012-05-11T23-39-09.750,43.106,-105.043,0.0,3.6,ML,NEIC,StationKey.csv
9,2012-05-11T07-52-07,2012-05-11T07-52-07.490,35.035,-97.6986,7.9,3.8,ML,ANF,StationKey.csv
10,2012-05-11T06-19-32,2012-05-11T06-19-32.280,32.0935,-115.736,10.0,3.8,ML,SCEDC,StationKey.csv
11,2012-05-11T04-37-50,2012-05-11T04-37-50.000,35.512,-96.788,5.0,3.1,ML,CERI,StationKey.csv
12,2012-05-10T22-54-04,2012-05-10T22-54-04.530,38.8253,-87.4639,0.0,4.0,ML,ANF,StationKey.csv
13,2012-05-10T22-07-19,2012-05-10T22-07-19.900,38.816,-87.465,8.8,3.2,ML,PDE-Q,StationKey.csv
14,2012-05-10T21-14-31,2012-05-10T21-14-31.000,35.51,-96.781,5.0,5.0,ML,CERI,StationKey.csv
15,2012-05-10T20-31-12,2012-05-10T20-31-12.470,33.764,-87.2006,1.5,3.1,ML,ANF,StationKey.csv
16,2012-05-10T15-15-38,2012-05-10T15-15-38.840,31.964,-94.465,7.0,4.7,ML,PDE-Q,StationKey.csv
17,2012-05-10T10-58-56,2012-05-10T10-58-56.310,43.311,-127.308,10.0,3.5,ML,PDE-Q,StationKey.csv
18,2012-05-10T06-24-38,2012-05-10T06-24-38.230,32.1582,-115.2122,10.0,3.7,ML,SCEDC,StationKey.csv
19,2012-05-10T01-18-30,2012-05-10T01-18-30.560,43.112,-110.457,5.0,3.7,ML,PDE-Q,StationKey.csv
20,2012-05-09T15-45-55,2012-05-09T15-45-55.000,35.304,-92.046,0.1,3.0,ML,CERI,StationKey.csv
21,2012-05-09T09-42-52,2012-05-09T09-42-52.120,32.0907,-115.7163,5.0,3.8,ML,SCEDC,StationKey.csv
22,2012-05-09T08-18-08,2012-05-09T08-18-08.950,32.1658,-115.2398,10.0,3.5,ML,SCEDC,StationKey.csv
23,2012-05-08T23-55-42,2012-05-08T23-55-42.550,34.1597,-116.4238,8.1,3.1,ML,SCEDC,StationKey.csv
24,2012-05-07T18-11-31,2012-05-07T18-11-31.730,43.757,-105.298,0.0,3.7,ML,NEIC,StationKey.csv
25,2012-05-06T20-03-46,2012-05-06T20-03-46.120,43.488,-105.082,0.0,3.4,ML,NEIC,StationKey.csv
26,2012-05-06T18-01-12,2012-05-06T18-01-12.950,43.901,-105.384,0.0,3.5,ML,NEIC,StationKey.csv
27,2012-05-05T21-14-13,2012-05-05T21-14-13.080,40.8859,-118.8573,7.0,3.1,ML,UNR,StationKey.csv
28,2012-05-05T16-22-59,2012-05-05T16-22-59.850,43.649,-128.0523,5.0,3.2,ML,ANF,StationKey.csv
29,2012-05-05T09-23-23,2012-05-05T09-23-23.060,38.7957,-122.7608,2.8,4.0,ML,NCEDC,StationKey.csv
