,TimeStamp,Station,Event,Phase
0,1196882200.071504,TA.M17A,2007-12-05T19-16-32,P
1,1198086984.4995384,TA.M17A,2007-12-19T17-56-18,P
2,1198261814.7135541,TA.M17A,2007-12-21T18-30-09,P
3,1198872020.033929,TA.M17A,2007-12-28T20-00-14,P
4,1199818093.9275708,TA.M17A,2008-01-08T18-48-09,P
5,1200333783.071504,TA.M17A,2008-01-14T18-02-55,P
6,1200945671.713552,TA.M17A,2008-01-21T20-01-06,P
7,1201029899.7135541,TA.M17A,2008-01-22T19-24-54,P
8,1203105612.9275708,TA.M17A,2008-02-15T20-00-08,P
9,1203105929.1415877,TA.M17A,2008-02-15T20-05-25,P
10,1203361460.713555,TA.M17A,2008-02-18T19-04-15,P
11,1203615698.7135541,TA.M17A,2008-02-21T17-41-33,P
12,1203971188.1415877,TA.M17A,2008-02-25T20-26-24,P
13,1204137730.029864,TA.M17A,2008-02-27T18-42-04,P
14,1205518711.2460124,TA.M17A,2008-03-14T18-18-25,P
15,1205773422.7135541,TA.M17A,2008-03-17T17-03-37,P
16,1206381264.7135541,TA.M17A,2008-03-24T17-54-19,P
17,1206462910.1433687,TA.M17A,2008-03-25T16-35-03,P
18,1206736866.9275708,TA.M17A,2008-03-28T20-41-02,P
19,1207332536.455303,TA.M17A,2008-04-04T18-08-51,P
20,1209401766.071502,TA.M17A,2008-04-28T16-55-58,P
21,1209740672.3556044,TA.M17A,2008-05-02T15-04-29,P
22,1212781185.526023,TA.M17A,2008-06-06T19-39-39,P
23,1213902884.713552,TA.M17A,2008-06-19T19-14-39,P
24,1214939572.9275687,TA.M17A,2008-07-01T19-12-48,P
25,1215618749.713552,TA.M17A,2008-07-09T15-52-24,P
26,1215626141.2566588,TA.M17A,2008-07-09T17-55-35,P
27,1217533486.713552,TA.M17A,2008-07-31T19-44-41,P
28,1218123313.1415856,TA.M17A,2008-08-07T15-35-09,P
29,1219082534.4995375,TA.M17A,2008-08-18T18-02-08,P
30,1219338035.6175659,TA.M17A,2008-08-21T17-00-30,P
31,1219694357.713552,TA.M17A,2008-08-25T19-59-12,P
32,1220036057.2344272,TA.M17A,2008-08-29T18-54-09,P
33,1220984886.2855186,TA.M17A,2008-09-09T18-27-59,P
34,1221247221.071504,TA.M17A,2008-09-12T19-20-13,P
35,1221680808.9275708,TA.M17A,2008-09-17T19-46-44,P
36,1221755990.9275708,TA.M17A,2008-09-18T16-39-46,P
37,1222284876.2855208,TA.M17A,2008-09-24T19-34-29,P
38,1222708779.263667,TA.M17A,2008-09-29T17-19-33,P
39,1223308061.7032344,TA.M17A,2008-10-06T15-47-33,P
40,1223479774.9275708,TA.M17A,2008-10-08T15-29-30,P
41,1223568432.9275708,TA.M17A,2008-10-09T16-07-08,P
42,1224776841.012418,TA.M17A,2008-10-23T15-47-14,P
43,1225137505.688554,TA.M17A,2008-10-27T19-58-20,P
44,1225471970.347846,TA.M17A,2008-10-31T16-52-43,P
45,1225996623.4847367,TA.M17A,2008-11-06T18-36-58,P
46,1226687952.071502,TA.M17A,2008-11-14T18-39-04,P
47,1226952129.2855208,TA.M17A,2008-11-17T20-02-02,P
48,1227115028.0101,TA.M17A,2008-11-19T17-17-01,P
49,1227126765.1415856,TA.M17A,2008-11-19T20-32-41,P
50,1227714364.2886577,TA.M17A,2008-11-26T15-45-58,P
51,1228154390.4995375,TA.M17A,2008-12-01T17-59-44,P
52,1228421919.071505,TA.M17A,2008-12-04T20-18-31,P
53,1228495848.8574874,TA.M17A,2008-12-05T16-50-40,P
54,1229017374.9025707,TA.M17A,2008-12-11T17-42-50,P
55,1229112579.8574884,TA.M17A,2008-12-12T20-09-31,P
56,1229450638.071504,TA.M17A,2008-12-16T18-03-50,P
57,1229620958.39299,TA.M17A,2008-12-18T17-22-30,P
58,1231789660.442617,TA.M17A,2009-01-12T19-47-33,P
59,1231958027.9412127,TA.M17A,2009-01-14T18-33-40,P
60,1232039336.058385,TA.M17A,2009-01-15T17-08-50,P
61,1232129882.4745374,TA.M17A,2009-01-16T18-17-56,P
62,1232656941.9025707,TA.M17A,2009-01-22T20-42-17,P
63,1232743632.4995384,TA.M17A,2009-01-23T20-47-06,P
64,1233004283.3556044,TA.M17A,2009-01-26T21-11-20,P
65,1233252132.5865393,TA.M17A,2009-01-29T18-02-07,P
66,1235079088.5512657,TA.M17A,2009-02-19T21-31-23,P
67,1235494684.7135541,TA.M17A,2009-02-24T16-57-59,P
68,1235494896.800528,TA.M17A,2009-02-24T17-01-31,P
69,1236965995.071502,TA.M17A,2009-03-13T17-39-47,P
70,1237489575.8574884,TA.M17A,2009-03-19T19-06-07,P
71,1238080673.071504,TA.M17A,2009-03-26T15-17-45,P
72,1238607422.9275708,TA.M17A,2009-04-01T17-36-58,P
73,1238773174.2855208,TA.M17A,2009-04-03T15-39-27,P
74,1239044000.071504,TA.M17A,2009-04-06T18-53-12,P
75,1239391647.8481154,TA.M17A,2009-04-10T19-27-22,P
76,1239643691.1415877,TA.M17A,2009-04-13T17-28-07,P
77,1239728203.327352,TA.M17A,2009-04-14T16-56-38,P
78,1239906206.8400137,TA.M17A,2009-04-16T18-23-21,P
79,1239993330.2855208,TA.M17A,2009-04-17T18-35-23,P
80,1240250021.3556044,TA.M17A,2009-04-20T17-53-38,P
81,1198086989.2154374,TA.M18A,2007-12-19T17-56-18,P
82,1198261818.6434708,TA.M18A,2007-12-21T18-30-09,P
83,1198872025.0434957,TA.M18A,2007-12-28T20-00-14,P
84,1199818104.931337,TA.M18A,2008-01-08T18-48-09,P
85,1200333785.429454,TA.M18A,2008-01-14T18-02-55,P
86,1200945678.0014205,TA.M18A,2008-01-21T20-01-06,P
87,1201029906.7874038,TA.M18A,2008-01-22T19-24-54,P
88,1203105620.0014205,TA.M18A,2008-02-15T20-00-08,P
89,1203105943.289287,TA.M18A,2008-02-15T20-05-25,P
90,1203361466.2154384,TA.M18A,2008-02-18T19-04-15,P
91,1203615704.2154374,TA.M18A,2008-02-21T17-41-33,P
92,1203971193.6434708,TA.M18A,2008-02-25T20-26-24,P
93,1204137735.1226437,TA.M18A,2008-02-27T18-42-04,P
94,1205518716.776685,TA.M18A,2008-03-14T18-18-25,P
95,1205773429.0014205,TA.M18A,2008-03-17T17-03-37,P
96,1206462916.2016494,TA.M18A,2008-03-25T16-35-03,P
97,1207332527.3469324,TA.M18A,2008-04-04T18-08-51,P
98,1209401770.7874038,TA.M18A,2008-04-28T16-55-58,P
99,1212781192.4453554,TA.M18A,2008-06-06T19-39-39,P
100,1213902887.8574874,TA.M18A,2008-06-19T19-14-39,P
101,1214939576.8574874,TA.M18A,2008-07-01T19-12-48,P
102,1215618754.429452,TA.M18A,2008-07-09T15-52-24,P
103,1215626144.6434708,TA.M18A,2008-07-09T17-55-35,P
104,1218123319.429452,TA.M18A,2008-08-07T15-35-09,P
105,1219082541.6399357,TA.M18A,2008-08-18T18-02-08,P
106,1219338040.4962542,TA.M18A,2008-08-21T17-00-30,P
107,1219694360.8574853,TA.M18A,2008-08-25T19-59-12,P
108,1220036063.8242178,TA.M18A,2008-08-29T18-54-09,P
109,1220984893.3593705,TA.M18A,2008-09-09T18-27-59,P
110,1221247226.5733871,TA.M18A,2008-09-12T19-20-13,P
111,1221680814.429454,TA.M18A,2008-09-17T19-46-44,P
112,1222284881.0014205,TA.M18A,2008-09-24T19-34-29,P
113,1222708782.6184707,TA.M18A,2008-09-29T17-19-33,P
114,1223308066.068044,TA.M18A,2008-10-06T15-47-33,P
115,1223479782.7874038,TA.M18A,2008-10-08T15-29-30,P
116,1223568440.0014205,TA.M18A,2008-10-09T16-07-08,P
117,1225137510.429454,TA.M18A,2008-10-27T19-58-20,P
118,1225471976.3443055,TA.M18A,2008-10-31T16-52-43,P
119,1225996626.8574874,TA.M18A,2008-11-06T18-36-58,P
120,1226687957.548387,TA.M18A,2008-11-14T18-39-04,P
121,1227115032.603786,TA.M18A,2008-11-19T17-17-01,P
122,1227126769.071504,TA.M18A,2008-11-19T20-32-41,P
123,1227714367.6434708,TA.M18A,2008-11-26T15-45-58,P
124,1228154396.0014205,TA.M18A,2008-12-01T17-59-44,P
125,1228421922.2154374,TA.M18A,2008-12-04T20-18-31,P
126,1228495852.0014205,TA.M18A,2008-12-05T16-50-40,P
127,1229017380.429454,TA.M18A,2008-12-11T17-42-50,P
128,1229112582.9764204,TA.M18A,2008-12-12T20-09-31,P
